task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-01-01,ML Fundamentals: Intro,"Practice ML Fundamentals within Machine Learning: step 1 of 10, progressing from basics to advanced.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 1)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-02,ML Fundamentals: Basics,"Practice ML Fundamentals within Machine Learning: step 2 of 10, progressing from basics to advanced.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 2)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-03,ML Fundamentals: Hands-on,"Practice ML Fundamentals within Machine Learning: step 3 of 10, progressing from basics to advanced.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 3)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-04,ML Fundamentals: Apply,"Practice ML Fundamentals within Machine Learning: step 4 of 10, progressing from basics to advanced.",quiz,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 4)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-05,ML Fundamentals: Deep Dive,"Practice ML Fundamentals within Machine Learning: step 5 of 10, progressing from basics to advanced.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 5)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-06,ML Fundamentals: From Scratch,"Practice ML Fundamentals within Machine Learning: step 6 of 10, progressing from basics to advanced.",practice,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 6)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-07,ML Fundamentals: Best Practices,"Practice ML Fundamentals within Machine Learning: step 7 of 10, progressing from basics to advanced.",project,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 7)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-08,ML Fundamentals: Performance,"Practice ML Fundamentals within Machine Learning: step 8 of 10, progressing from basics to advanced.",quiz,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 8)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-09,ML Fundamentals: Real-World,"Practice ML Fundamentals within Machine Learning: step 9 of 10, progressing from basics to advanced.",coding,Hard,40 minutes,Machine Learning,Advanced,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 9)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
machine-learning-01-10,ML Fundamentals: Capstone,"Practice ML Fundamentals within Machine Learning: step 10 of 10, progressing from basics to advanced.",practice,Expert,60 minutes,Machine Learning,Advanced,"machine-learning,ml,fundamentals",Read a short overview of ML Fundamentals in Machine Learning|Implement a minimal example for ML Fundamentals (task 10)|Add one variation or edge case to your example|Write a brief summary of what you learned,Search official docs for 'ML Fundamentals' in Machine Learning|Start with a small example before generalizing|Validate inputs and handle errors|Use a linter/formatter to keep code clean,https://www.youtube.com/watch?v=Gv9_4yMHFhI,https://scikit-learn.org/stable/
