task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
machine-learning-logistic-regression,Logistic Regression: Easy Practical Task 2,"A easy-level, course-ready exercise focused on Logistic Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,logistic,easy","{"step_1": "Review the theoretical foundations of Logistic Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Logistic Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Logistic Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=e74bacc6c13,https://scikit-learn.org/stable/#1d7a4880
machine-learning-data-preprocessing,Data Preprocessing: Easy Practical Task 3,"A easy-level, course-ready exercise focused on Data Preprocessing in Machine Learning. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,data,easy","{"step_1": "Review the theoretical foundations of Data Preprocessing within Machine Learning.", "step_2": "Implement a concise example demonstrating Data Preprocessing.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Data Preprocessing in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=4f864e5f9ae,https://scikit-learn.org/stable/#988d4b42
machine-learning-feature-engineering,Feature Engineering: Easy Practical Task 4,"A easy-level, course-ready exercise focused on Feature Engineering in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,feature,easy","{"step_1": "Review the theoretical foundations of Feature Engineering within Machine Learning.", "step_2": "Implement a concise example demonstrating Feature Engineering.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Feature Engineering in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=f07cf19db6a,https://scikit-learn.org/stable/#d741a7fd
machine-learning-model-evaluation,Model Evaluation: Easy Practical Task 5,"A easy-level, course-ready exercise focused on Model Evaluation in Machine Learning. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,model,easy","{"step_1": "Review the theoretical foundations of Model Evaluation within Machine Learning.", "step_2": "Implement a concise example demonstrating Model Evaluation.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Model Evaluation in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=0bee97a3206,https://scikit-learn.org/stable/#fc172faf
machine-learning-cross-validation-easy,Cross-Validation: Easy Practical Task 6,"A easy-level, course-ready exercise focused on Cross-Validation in Machine Learning. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,cross-validation,easy","{"step_1": "Review the theoretical foundations of Cross-Validation within Machine Learning.", "step_2": "Implement a concise example demonstrating Cross-Validation.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Cross-Validation in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=9d120e34d8e,https://scikit-learn.org/stable/#4a15b0d1
machine-learning-decision-trees,Decision Trees: Easy Practical Task 7,"A easy-level, course-ready exercise focused on Decision Trees in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,decision,easy","{"step_1": "Review the theoretical foundations of Decision Trees within Machine Learning.", "step_2": "Implement a concise example demonstrating Decision Trees.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Decision Trees in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=676b134b619,https://scikit-learn.org/stable/#349eb49e
machine-learning-random-forests,Random Forests: Easy Practical Task 8,"A easy-level, course-ready exercise focused on Random Forests in Machine Learning. Learners will implement, validate, and summarize results concisely.",practice,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,random,easy","{"step_1": "Review the theoretical foundations of Random Forests within Machine Learning.", "step_2": "Implement a concise example demonstrating Random Forests.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Random Forests in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=3f0a3a8cf2a,https://scikit-learn.org/stable/#6376361b
machine-learning-svm-easy,SVM: Easy Practical Task 9,"A easy-level, course-ready exercise focused on SVM in Machine Learning. Learners will implement, validate, and summarize results concisely.",project,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,svm,easy","{"step_1": "Review the theoretical foundations of SVM within Machine Learning.", "step_2": "Implement a concise example demonstrating SVM.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for SVM in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=aa29a1e6b69,https://scikit-learn.org/stable/#198f5a82
machine-learning-clustering-k-means,Clustering (K-Means): Easy Practical Task 10,"A easy-level, course-ready exercise focused on Clustering (K-Means) in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,clustering,easy","{"step_1": "Review the theoretical foundations of Clustering (K-Means) within Machine Learning.", "step_2": "Implement a concise example demonstrating Clustering (K-Means).", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Clustering (K-Means) in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=66b760b7cd1,https://scikit-learn.org/stable/#3f6f904fise focused on Clustering (K-Means) in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,clustering,easy","{""step_1"": ""Review the theoretical foundations of Clustering (K-Means) within Machine Learning."", ""step_2"": ""Implement a concise example demonstrating Clustering (K-Means)."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Clustering (K-Means) in Machine Learning."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=66b760b7cd1,https://scikit-learn.org/stable/#3f6f904f
machine-learning-cross-validation-medium,Cross-Validation: Medium Practical Task 6,"A medium-level, course-ready exercise focused on Cross-Validation in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Machine Learning,Intermediate,"machine-learning,cross-validation,medium","{""step_1"": ""Review the theoretical foundations of Cross-Validation within Machine Learning."", ""step_2"": ""Implement a concise example demonstrating Cross-Validation."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Cross-Validation in Machine Learning."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=83cc0bf870b,https://scikit-learn.org/stable/#43f5d04f
