id,title,description,type,difficulty,duration,tags,category,author,rating,likes,url
1,"Python for Everybody","Learn Python basics including data structures, web access, databases, and OOP","course","Beginner","10 hours","python,programming,basics,functions,loops","Programming","University of Michigan",4.8,4500,"https://www.coursera.org/specializations/python"
2,"Complete Python Bootcamp","Comprehensive Python course from beginner to advanced covering OOP, web scraping, and automation","course","Intermediate","22 hours","python,automation,oops,scripting,web-scraping","Programming","Jose Portilla (Udemy)",4.7,2300,"https://www.udemy.com/course/complete-python-bootcamp/"
3,"Advanced Python Programming","Deep dive into decorators, generators, concurrency, and performance optimization","course","Advanced","15 hours","python,advanced,concurrency,performance","Programming","Pluralsight",4.6,1800,"https://www.pluralsight.com/courses/advanced-python"
4,"Introduction to Machine Learning","Learn supervised and unsupervised learning with real-world datasets using Python","course","Beginner","12 hours","machine-learning,python,sklearn,classification,regression","Machine Learning","IBM (Coursera)",4.7,3100,"https://www.coursera.org/learn/machine-learning-with-python"
5,"Machine Learning A-Z","Hands-on machine learning algorithms including regression, clustering, and deep learning","course","Intermediate","40 hours","machine-learning,python,ai,deeplearning,algorithms","Machine Learning","Kirill Eremenko (Udemy)",4.8,5100,"https://www.udemy.com/course/machinelearning/"
6,"Deep Learning Specialization","Master neural networks, CNNs, RNNs, and sequence models using TensorFlow","course","Advanced","60 hours","deep-learning,tensorflow,cnn,rnn,ai,ml","Deep Learning","Andrew Ng (Coursera)",4.9,8700,"https://www.coursera.org/specializations/deep-learning"
7,"Front-End Web Development","Learn HTML, CSS, and JavaScript fundamentals for modern web design","course","Beginner","15 hours","html,css,javascript,frontend,web-design","Web Development","Meta (Coursera)",4.6,3400,"https://www.coursera.org/learn/introduction-to-front-end-development"
8,"React - The Complete Guide","Learn React from scratch including hooks, context API, routing, and Redux","course","Intermediate","48 hours","react,javascript,frontend,redux,components","Web Development","Maximilian Schwarzmüller (Udemy)",4.8,6400,"https://www.udemy.com/course/react-the-complete-guide/"
9,"Advanced React and GraphQL","Build full-stack web apps using React, GraphQL, and Apollo","course","Advanced","20 hours","react,graphql,frontend,web-development","Web Development","Wes Bos",4.7,2700,"https://advancedreact.com/"
10,"SQL for Data Science","Learn SQL queries, joins, aggregations, and database design for analytics","course","Beginner","8 hours","sql,database,queries,joins,analytics","Database","University of California, Davis",4.6,2600,"https://www.coursera.org/learn/sql-for-data-science"
11,"Database Design and Management","Master relational database design, normalization, and performance tuning","course","Intermediate","10 hours","database,design,normalization,postgresql,sql","Database","Oracle Academy",4.5,1800,"https://academy.oracle.com/"
12,"Advanced SQL for Data Engineers","Learn complex queries, CTEs, window functions, and database optimization","course","Advanced","12 hours","sql,optimization,data-engineering,postgresql","Database","DataCamp",4.7,1900,"https://www.datacamp.com/courses/advanced-sql"
13,"Docker Essentials","Get started with Docker: containers, images, networking, and Docker Compose","tutorial","Beginner","6 hours","docker,containers,devops,networking","DevOps","IBM (Coursera)",4.5,2000,"https://www.coursera.org/learn/docker-essentials"
14,"Kubernetes for Developers","Learn Kubernetes architecture, deployment, and scaling applications","course","Intermediate","9 hours","kubernetes,containers,devops,cloud,deployment","DevOps","Google Cloud",4.7,3100,"https://www.coursera.org/learn/deploying-apps-on-kubernetes"
15,"AWS Certified DevOps Engineer","Prepare for AWS DevOps certification with CI/CD, infrastructure as code, and monitoring","course","Advanced","30 hours","aws,devops,ci-cd,infrastructure,terraform","DevOps","Amazon Web Services",4.8,4200,"https://aws.amazon.com/training/devops-engineer/"
16,"JavaScript Essentials","Master JavaScript fundamentals including DOM manipulation and ES6+ features","course","Beginner","8 hours","javascript,frontend,es6,web-development","Web Development","freeCodeCamp",4.7,3800,"https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/"
17,"Node.js Basics","Learn Node.js fundamentals including modules, Express, and REST API creation","course","Intermediate","10 hours","node.js,backend,express,api,javascript","Backend Development","Codecademy",4.6,2900,"https://www.codecademy.com/learn/learn-node-js"
18,"Advanced Node.js and Microservices","Master microservice architecture, API gateway, and authentication with Node.js","course","Advanced","18 hours","node.js,microservices,api,backend,express","Backend Development","Udemy",4.7,3500,"https://www.udemy.com/course/microservices-with-node-js-and-react/"
